DATE,GOLDAMGBD228NLBM
2015-12-07,1082.700
2015-12-08,1071.750
2015-12-09,1078.400
2015-12-10,1072.000
2015-12-11,1067.200
2015-12-14,1068.000
2015-12-15,1069.150
2015-12-16,1065.750
2015-12-17,1065.850
2015-12-18,1055.250
2015-12-21,1071.150
2015-12-22,1077.000
2015-12-23,1071.500
2015-12-24,1071.900
2015-12-25,.
2015-12-28,.
2015-12-29,1067.250
2015-12-30,1067.800
2015-12-31,1062.250
2016-01-01,.
2016-01-04,1072.700
2016-01-05,1078.000
2016-01-06,1083.850
2016-01-07,1096.000
2016-01-08,1097.450
2016-01-11,1104.700
2016-01-12,1094.850
2016-01-13,1081.800
2016-01-14,1090.750
2016-01-15,1081.100
2016-01-18,1090.450
2016-01-19,1087.000
2016-01-20,1093.200
2016-01-21,1096.800
2016-01-22,1097.650
2016-01-25,1103.700
2016-01-26,1114.700
2016-01-27,1116.500
2016-01-28,1119.000
2016-01-29,1112.900
2016-02-01,1122.000
2016-02-02,1123.600
2016-02-03,1130.000
2016-02-04,1146.250
2016-02-05,1158.500
2016-02-08,1173.400
2016-02-09,1188.900
2016-02-10,1183.400
2016-02-11,1223.250
2016-02-12,1239.500
2016-02-15,1208.450
2016-02-16,1212.000
2016-02-17,1202.400
2016-02-18,1204.400
2016-02-19,1221.500
2016-02-22,1203.650
2016-02-23,1218.750
2016-02-24,1232.250
2016-02-25,1235.400
2016-02-26,1231.000
2016-02-29,1234.150
2016-03-01,1240.000
2016-03-02,1229.350
2016-03-03,1241.950
2016-03-04,1271.500
2016-03-07,1267.600
2016-03-08,1274.100
2016-03-09,1258.250
2016-03-10,1247.250
2016-03-11,1262.250
2016-03-14,1256.550
2016-03-15,1233.600
2016-03-16,1233.100
2016-03-17,1269.600
2016-03-18,1254.500
2016-03-21,1244.250
2016-03-22,1251.800
2016-03-23,1232.200
2016-03-24,1216.450
2016-03-25,.
2016-03-28,.
2016-03-29,1216.450
2016-03-30,1238.200
2016-03-31,1233.600
2016-04-01,1232.100
2016-04-04,1215.000
2016-04-05,1231.500
2016-04-06,1225.750
2016-04-07,1237.500
2016-04-08,1235.000
2016-04-11,1247.250
2016-04-12,1259.200
2016-04-13,1245.750
2016-04-14,1240.300
2016-04-15,1229.750
2016-04-18,1237.700
2016-04-19,1241.700
2016-04-20,1247.750
2016-04-21,1257.650
2016-04-22,1245.400
2016-04-25,1230.850
2016-04-26,1234.500
2016-04-27,1244.750
2016-04-28,1256.600
2016-04-29,1274.500
2016-05-02,.
2016-05-03,1296.500
2016-05-04,1280.300
2016-05-05,1275.750
2016-05-06,1280.250
2016-05-09,1277.750
2016-05-10,1264.850
2016-05-11,1271.800
2016-05-12,1268.300
2016-05-13,1275.150
2016-05-16,1281.000
2016-05-17,1270.100
2016-05-18,1270.900
2016-05-19,1253.750
2016-05-20,1256.500
2016-05-23,1250.400
2016-05-24,1242.650
2016-05-25,1220.750
2016-05-26,1226.650
2016-05-27,1221.250
2016-05-30,.
2016-05-31,1210.500
2016-06-01,1216.250
2016-06-02,1215.500
2016-06-03,1211.000
2016-06-06,1240.550
2016-06-07,1241.100
2016-06-08,1252.400
2016-06-09,1258.350
2016-06-10,1266.600
2016-06-13,1284.100
2016-06-14,1279.400
2016-06-15,1282.000
2016-06-16,1307.000
